ID,n_clicks,n_visitas,monto_compras,monto_descuentos,dias_primera_compra,info_perfil
j3OEfG0f,258.0,78.0,2694.0,67.0,206.0,192.0
cMcpvCGd,195.0,61.0,2408.7,102.4,151.0,196.0
FkT22RFE,290.0,71.0,3586.2,85.1,260.0,180.0
28j8tehX,268.0,74.0,2996.5,87.3,184.0,201.0
sqEZdGqV,237.0,72.0,2700.9,84.3,233.0,199.0
XQ5wzuCx,212.0,69.0,4390.2,92.8,196.0,180.0
Jj2RlTqh,288.0,79.0,3548.6,63.5,205.0,134.0
VN4pDrSv,206.0,87.0,3229.6,82.8,225.0,240.0
7V3b8rUm,223.0,66.0,4224.3,90.7,238.0,214.0
x16PrcTw,154.0,76.0,3498.3,94.9,183.0,104.0
J6S30jPF,238.0,62.0,4073.0,78.2,196.0,229.0
fbHCLkhC,300.0,81.0,2398.8,73.1,124.0,165.0
ftDJ7VB0,253.0,62.0,2410.0,83.3,292.0,266.0
RZfDDZyj,200.0,80.0,3157.8,50.0,164.0,172.0
3L4p7vM9,337.0,69.0,2204.1,90.2,230.0,218.0
21rLhGs4,280.0,55.0,2519.0,110.2,228.0,230.0
OebNviOe,215.0,65.0,3580.8,97.6,196.0,222.0
2FwkDQFs,269.0,54.0,3898.3,71.4,176.0,236.0
ZPHUot7f,240.0,82.0,3769.0,90.2,206.0,176.0
NdciRPgn,159.0,70.0,2332.1,82.7,198.0,250.0
w4piQ2IB,279.0,54.0,3680.6,98.3,186.0,162.0
gpk55FI6,222.0,68.0,3146.5,101.4,148.0,56.0
E4czoMss,339.0,78.0,1928.6,83.8,245.0,136.0
7sDaUWPB,316.0,76.0,2942.2,79.5,181.0,186.0
QT7PBEIU,203.0,28.0,2534.2,67.7,190.0,154.0
vafox5S6,179.0,71.0,3365.1,82.3,134.0,152.0
Ntnu9A0v,232.0,43.0,4715.7,95.5,246.0,179.0
XsW5uo1e,293.0,93.0,1911.5,81.3,189.0,208.0
6jXd4Uug,286.0,78.0,2783.7,87.2,172.0,231.0
vdynPB02,337.0,37.0,3412.6,98.9,203.0,124.0
8AkwF2nT,260.0,83.0,3742.3,80.9,198.0,302.0
gjQYCxB7,180.0,76.0,3118.9,92.5,179.0,198.0
jB3v7Rod,236.0,45.0,3532.2,78.3,182.0,180.0
KXi7meXH,189.0,74.0,3649.8,57.5,279.0,174.0
tFucTgGD,305.0,54.0,3536.1,55.5,253.0,159.0
mOASITUz,279.0,49.0,4592.5,93.4,127.0,262.0
XVzhZIGp,223.0,58.0,3315.7,89.3,196.0,151.0
dkOdU3GJ,248.0,71.0,2188.3,89.5,210.0,252.0
39aWMYXl,322.0,75.0,3312.7,72.5,134.0,178.0
P8pItKOO,322.0,79.0,3096.6,56.3,155.0,138.0
A5VO4iGr,243.0,61.0,2453.3,102.1,191.0,167.0
rGYgL73y,231.0,53.0,3038.0,95.6,187.0,214.0
Zp6uPnPC,303.0,82.0,2170.9,48.5,207.0,124.0
TSFdXVHk,220.0,72.0,2513.7,103.3,215.0,247.0
5Hweb21L,208.0,76.0,3139.6,60.0,175.0,239.0
AdWnk9WB,265.0,69.0,3478.7,66.8,175.0,244.0
KBrrJpMc,246.0,44.0,3773.2,96.4,109.0,167.0
aFIPh1ua,230.0,69.0,1743.2,81.5,261.0,124.0
wnhLggtE,340.0,105.0,2246.8,59.5,200.0,210.0
WObyDNxf,247.0,76.0,3439.9,47.2,210.0,192.0
ZMaULmzG,240.0,76.0,3474.8,59.2,139.0,264.0
NnYfkqKL,236.0,52.0,2202.1,82.8,244.0,201.0
H0O8oM8j,260.0,90.0,3059.5,80.3,228.0,181.0
0dua1Vac,239.0,94.0,3411.9,123.6,172.0,176.0
2O1VtQZi,254.0,69.0,4075.7,85.1,194.0,156.0
ChcwAuIT,168.0,67.0,2429.0,63.5,152.0,270.0
u4iAD1Q1,194.0,81.0,4300.3,95.7,223.0,152.0
pX2GuQpW,330.0,51.0,3817.5,72.6,166.0,201.0
0NzgRgPi,306.0,45.0,2968.8,72.3,178.0,240.0
VTQO1pcE,311.0,68.0,3101.0,53.4,194.0,144.0
bhMoO2gC,246.0,83.0,3188.3,81.6,238.0,171.0
lBsi1Q2a,191.0,59.0,3135.8,54.6,197.0,151.0
akC3dmdL,302.0,66.0,2882.1,69.7,173.0,205.0
CExN8Wz8,297.0,85.0,3567.4,80.4,235.0,165.0
T19mrTHR,212.0,76.0,2787.5,88.7,163.0,214.0
GgZC3TvA,393.0,66.0,3717.6,81.1,223.0,212.0
p5dAqmY3,283.0,89.0,3239.1,58.1,205.0,219.0
ugaXcjG6,295.0,60.0,3867.5,80.2,236.0,190.0
POiLvbLx,193.0,38.0,2168.6,103.0,219.0,211.0
olULuHbb,358.0,58.0,3913.4,78.2,193.0,195.0
af51UIx8,261.0,83.0,2840.3,119.8,177.0,219.0
BJIj4P2U,282.0,46.0,2364.4,77.7,119.0,200.0
SicFL4NW,248.0,27.0,3461.4,51.9,222.0,160.0
CTmuUQk4,276.0,63.0,3375.2,82.0,157.0,177.0
TP1B8QhJ,181.0,78.0,3104.2,98.5,204.0,102.0
UM9I10QM,297.0,83.0,3294.5,66.2,170.0,222.0
cC4Ej9UO,276.0,92.0,2927.7,92.7,204.0,165.0
i8cPr16I,174.0,72.0,2194.4,67.6,182.0,156.0
iXL3qcP8,309.0,89.0,3599.6,41.8,228.0,149.0
vIcwz657,253.0,70.0,3110.6,87.5,209.0,252.0
I6lR1IrR,330.0,56.0,3142.1,91.4,147.0,165.0
DlkiBHhy,216.0,74.0,4098.6,91.4,233.0,164.0
AWzHhBdg,165.0,66.0,3715.4,61.6,194.0,137.0
L5Wn1ZOD,266.0,61.0,3945.0,70.9,145.0,231.0
RxiEJwCS,276.0,29.0,3132.9,57.7,221.0,134.0
CPrj4X7i,352.0,60.0,3541.7,79.2,211.0,263.0
VnzhOxAh,221.0,65.0,4453.9,61.2,202.0,201.0
QUu7zQsA,276.0,79.0,3351.9,95.4,234.0,175.0
Z9xBc6xC,307.0,61.0,2488.4,83.6,230.0,122.0
yi5GEYHk,265.0,84.0,3028.4,85.4,147.0,247.0
o54Lgs2b,264.0,45.0,4083.8,62.2,189.0,194.0
2rl9IapR,185.0,76.0,2943.1,71.7,243.0,209.0
LDKucbjc,302.0,35.0,2472.0,85.7,203.0,252.0
9ogWiYse,252.0,51.0,2157.4,83.3,185.0,203.0
5dCKOn9H,370.0,58.0,2764.4,77.9,182.0,193.0
8DnVzKiE,316.0,60.0,3019.0,93.4,160.0,206.0
tWTvPp5l,228.0,60.0,2917.8,107.5,232.0,130.0
JPiPDSr3,222.0,47.0,2568.8,58.5,183.0,206.0
Z12typG2,188.0,73.0,3683.7,87.9,196.0,192.0
7fkPfc5b,252.0,69.0,3658.9,53.7,221.0,218.0
XI1qz1ST,305.0,38.0,3463.3,58.3,129.0,199.0
pStoJA7h,278.0,87.0,2342.2,68.7,221.0,269.0
AomjPf7i,317.0,69.0,3209.8,82.8,188.0,169.0
utKZOnHw,223.0,94.0,3099.2,76.9,187.0,109.0
Y0gUlsXK,310.0,63.0,3233.7,53.9,210.0,194.0
ePiaDIyO,250.0,53.0,3145.2,79.7,163.0,156.0
WAsJ1255,317.0,56.0,2440.2,87.0,195.0,131.0
Ujom8wqt,176.0,81.0,3860.4,83.6,222.0,213.0
c0qGpvF2,218.0,98.0,3327.3,103.3,231.0,145.0
oGSyeRm8,218.0,57.0,2520.0,96.4,215.0,283.0
pwc82cm1,293.0,80.0,2133.2,84.3,153.0,201.0
ncuzzglF,172.0,75.0,3413.8,78.9,226.0,228.0
3ngAnTde,247.0,46.0,2689.0,92.2,194.0,182.0
XukWpktl,311.0,63.0,2391.4,86.0,151.0,246.0
zSIb2KmP,290.0,72.0,4330.4,94.5,248.0,157.0
9AVcgq0D,255.0,64.0,3034.9,55.9,194.0,198.0
BnagW8so,329.0,55.0,2824.4,63.3,195.0,239.0
WZcAKzcS,275.0,74.0,3998.1,60.6,165.0,221.0
6lfiDNZD,267.0,95.0,2593.5,72.7,212.0,214.0
4QfNztoj,239.0,46.0,2713.9,72.7,238.0,211.0
Xm26zL0T,345.0,41.0,4381.0,94.3,114.0,184.0
Adftv94g,334.0,68.0,2948.5,69.9,213.0,182.0
LNJm489o,271.0,64.0,3763.4,91.8,190.0,145.0
ORxSQ2Rg,272.0,64.0,2720.0,96.7,198.0,182.0
ZkD4YdyE,263.0,71.0,2766.8,68.8,180.0,127.0
DF3TXdss,256.0,53.0,2514.8,53.8,300.0,244.0
aFkpXcrI,246.0,70.0,3336.4,68.6,145.0,243.0
xCRImd7c,279.0,60.0,2730.3,105.0,232.0,220.0
9PXWP7Xz,216.0,66.0,3945.1,103.4,164.0,161.0
NxlRSlEP,213.0,72.0,1944.9,83.1,153.0,187.0
3Zxu6zoq,210.0,63.0,3094.0,87.7,164.0,208.0
SUMsJk1I,298.0,65.0,3045.0,83.3,247.0,220.0
I1cSHrJJ,154.0,61.0,3183.4,70.4,116.0,225.0
YBJzlCYx,341.0,72.0,3708.4,81.2,172.0,202.0
dsRId3WW,222.0,69.0,3344.6,82.2,164.0,198.0
OTwEOgxn,191.0,78.0,3391.2,59.8,261.0,183.0
lTTVmKwr,251.0,70.0,3116.9,83.8,194.0,135.0
bxf1HA3v,199.0,81.0,3891.3,97.4,200.0,203.0
ajl2zyWB,221.0,63.0,2575.0,73.2,178.0,122.0
qh73tYks,229.0,54.0,3946.6,94.4,251.0,141.0
mVptbBd1,248.0,85.0,2265.0,85.6,135.0,186.0
Z622zRxA,148.0,59.0,2995.7,83.2,176.0,205.0
86BflTre,274.0,45.0,3180.7,82.1,215.0,155.0
BpM9ZKJE,222.0,69.0,3599.7,97.0,182.0,176.0
aOKy35oG,154.0,62.0,2598.9,82.2,266.0,197.0
bAlKygTh,258.0,60.0,2279.9,58.4,230.0,165.0
Llhm9I7a,346.0,82.0,3210.5,84.9,195.0,138.0
vvIxCP0l,164.0,81.0,3092.5,66.5,172.0,206.0
43fmrkYS,243.0,58.0,3921.4,74.0,165.0,155.0
PT5MaHVN,258.0,70.0,3531.1,65.0,165.0,187.0
bsTNXhRG,320.0,70.0,2085.7,63.0,263.0,208.0
qxriugJH,198.0,39.0,3532.5,82.6,151.0,195.0
UJbOTPb1,304.0,74.0,2562.6,71.0,191.0,156.0
j4bD8STA,215.0,54.0,2855.7,84.8,147.0,164.0
XhjrI8wm,294.0,56.0,2807.3,86.4,125.0,210.0
jq6JqRyX,307.0,70.0,3906.8,90.5,113.0,166.0
iRl7MEJX,232.0,79.0,2667.1,59.8,200.0,185.0
46vmSWuT,190.0,39.0,2524.3,78.4,158.0,137.0
9lSRdtSL,268.0,81.0,3359.1,72.5,179.0,205.0
4wjj8CXT,259.0,86.0,3480.2,84.6,182.0,195.0
VtLPf6ZD,193.0,70.0,3522.3,88.6,152.0,218.0
2WC55HjF,271.0,75.0,3557.6,91.4,137.0,207.0
uIYINE5j,249.0,58.0,2817.8,59.0,215.0,139.0
nQTzvmr3,250.0,59.0,3656.7,79.6,233.0,199.0
DSWM4AYw,258.0,74.0,2739.9,61.1,122.0,231.0
fO1B6tmX,252.0,74.0,2991.1,93.3,127.0,221.0
ifjkCnnj,225.0,71.0,3360.3,81.3,210.0,144.0
76a8vVRo,283.0,77.0,4008.7,67.2,246.0,196.0
2l9CAwhv,200.0,78.0,3054.1,87.3,229.0,125.0
stLiZEqJ,352.0,64.0,3409.7,79.8,257.0,154.0
9yFTLgQK,114.0,58.0,1865.1,77.2,171.0,246.0
x84zo3Sx,294.0,70.0,3895.0,89.6,197.0,179.0
MKPaDHje,297.0,76.0,3001.5,87.4,171.0,145.0
iZq94qEZ,237.0,45.0,2658.7,73.3,147.0,166.0
KKmPQ6Oj,192.0,42.0,2486.6,51.1,219.0,191.0
pqCeiifk,256.0,66.0,2958.4,86.9,235.0,228.0
aVhl3LF9,204.0,69.0,4147.3,62.4,187.0,173.0
rmXrBIoP,237.0,79.0,4094.4,98.4,242.0,207.0
mw6Ohu9y,208.0,60.0,2597.2,88.3,124.0,256.0
dzYtmGit,303.0,71.0,3171.9,45.8,217.0,236.0
P7GL9Xqx,249.0,63.0,3352.3,107.1,218.0,190.0
tnpzc010,311.0,82.0,2067.7,100.9,227.0,153.0
xBVk7YNG,250.0,63.0,3608.2,50.6,179.0,170.0
j2NEUzgP,163.0,65.0,3489.4,106.6,166.0,186.0
I7wOFVUJ,261.0,63.0,3482.0,135.2,176.0,147.0
Y8K4c9II,323.0,61.0,3081.0,80.7,240.0,180.0
XnECu9M3,246.0,77.0,2447.2,63.6,195.0,266.0
kGapeBhk,191.0,43.0,3144.6,101.9,240.0,177.0
61qEOWdp,236.0,55.0,2556.8,78.7,157.0,238.0
tqfPaWr5,196.0,59.0,4611.3,79.8,181.0,185.0
P4daRyYi,301.0,93.0,3597.8,84.3,180.0,196.0
sgvewldV,195.0,75.0,3074.0,89.8,221.0,162.0
AKobaIVd,202.0,65.0,2859.2,85.8,156.0,167.0
V6UnbKfA,249.0,49.0,3260.8,57.3,182.0,151.0
Od5SBfFs,317.0,85.0,2839.0,86.4,194.0,160.0
dqHHIiO4,204.0,50.0,3832.7,53.7,213.0,151.0
nhEuZNvw,241.0,76.0,3337.7,53.6,135.0,131.0
gFNLILCm,230.0,64.0,4442.7,90.4,182.0,158.0
y3JjrGda,234.0,53.0,3091.6,91.5,233.0,234.0
uJYFhF0s,142.0,59.0,2762.1,56.0,159.0,155.0
e4543suP,183.0,54.0,3833.5,96.7,201.0,193.0
9OfkTcMX,211.0,89.0,2793.9,62.3,152.0,189.0
55lqpY0M,267.0,85.0,2612.1,81.9,226.0,224.0
ZxvFq7OT,224.0,55.0,3165.1,82.5,127.0,197.0
UPlJlYJs,174.0,82.0,3617.7,71.5,240.0,212.0
i83ZTWCh,235.0,74.0,3464.1,94.7,278.0,261.0
LZ7LWL9D,269.0,45.0,4063.0,84.0,180.0,168.0
gHekVHZW,332.0,51.0,2869.5,83.4,150.0,261.0
I0OAenZo,269.0,86.0,3200.8,69.3,140.0,161.0
ZStygj9d,203.0,78.0,3393.5,99.8,253.0,208.0
Ys0JiUU6,253.0,64.0,1116.8,85.0,65.0,144.0
O3fBad2M,238.0,51.0,3059.4,62.9,148.0,251.0
GkpuX62P,180.0,67.0,3484.6,65.9,189.0,168.0
H3DTsQPX,255.0,48.0,3559.2,61.5,241.0,218.0
Rqc1T59j,324.0,81.0,3899.4,83.8,192.0,171.0
faz5pv2b,319.0,36.0,3373.1,79.9,155.0,180.0
IzgYEtiJ,115.0,73.0,1733.3,74.1,244.0,158.0
ri646Vim,244.0,77.0,3591.3,82.1,199.0,228.0
OqC6zRKb,231.0,88.0,4197.4,83.7,184.0,248.0
luYbVNjU,239.0,95.0,3550.2,95.0,217.0,214.0
yKvFIHo9,257.0,53.0,2802.2,113.9,203.0,232.0
Td80mc3r,186.0,75.0,4191.4,127.2,151.0,149.0
IKgOUrlp,239.0,58.0,2802.5,74.2,125.0,198.0
toOTFTL2,239.0,42.0,2300.6,71.8,188.0,226.0
OzairLiA,344.0,69.0,2777.1,77.9,235.0,204.0
jibtRFOe,188.0,60.0,3711.6,100.3,220.0,183.0
cbIyDsq5,257.0,61.0,3336.3,76.9,234.0,193.0
qjjP3QtP,161.0,86.0,3204.4,76.6,169.0,179.0
JTx4kTl0,320.0,79.0,2890.8,93.2,196.0,206.0
3SFtqTwP,233.0,61.0,3772.3,73.3,157.0,213.0
Aeb9TLmN,263.0,73.0,3507.3,89.8,202.0,170.0
U6wwsrjT,236.0,85.0,3182.2,111.9,202.0,195.0
Ra9QjjRk,182.0,59.0,2428.4,78.7,180.0,206.0
ToF2qrJa,264.0,55.0,4351.6,88.8,179.0,220.0
P6zybco9,268.0,57.0,3645.7,74.4,237.0,243.0
s0gFh2lu,205.0,81.0,3664.8,80.7,224.0,192.0
5QwhIDF9,259.0,77.0,3728.5,105.2,214.0,166.0
AIBss09N,245.0,61.0,3461.8,60.3,146.0,244.0
JOLDgvys,333.0,55.0,3394.3,90.4,210.0,127.0
6g3ZSlKA,299.0,84.0,3077.3,102.1,243.0,164.0
fGfHJxyk,294.0,74.0,2039.3,75.7,135.0,239.0
QKtRHoLo,265.0,68.0,3792.4,74.4,221.0,252.0
7AjTMHkE,257.0,67.0,2630.0,87.9,203.0,170.0
1FICOUKL,225.0,58.0,3873.0,68.8,206.0,190.0
5DM7Mpb9,204.0,74.0,2985.2,72.0,184.0,201.0
HTNeS8kk,303.0,76.0,2858.9,79.4,234.0,146.0
nFKC6IF4,196.0,46.0,4224.3,69.2,256.0,215.0
9LSy7MU5,248.0,75.0,3975.8,79.4,191.0,92.0
lcSdtBlL,189.0,53.0,4600.7,107.7,197.0,169.0
MCQw6KrP,238.0,53.0,3260.4,92.1,153.0,174.0
iUHqbJLs,228.0,36.0,2520.4,40.6,229.0,163.0
iieI9fj9,284.0,69.0,3477.0,89.3,201.0,185.0
b6PzTXDP,193.0,48.0,2645.2,77.4,127.0,224.0
i408MX1a,122.0,60.0,3950.0,58.6,233.0,146.0
QuWUPqaq,272.0,81.0,3083.2,75.1,203.0,171.0
fgcdlnaT,303.0,71.0,3417.5,62.5,175.0,191.0
mHTiYoJa,223.0,55.0,3184.2,104.8,198.0,230.0
D7WTD1BJ,257.0,62.0,3119.8,75.1,242.0,210.0
h4ZMYOib,240.0,48.0,2691.7,83.4,187.0,121.0
XIlgRgdf,234.0,84.0,3726.1,70.2,263.0,201.0
zJ137Eui,283.0,50.0,2771.8,48.0,142.0,191.0
TxDUHweQ,279.0,62.0,2769.7,70.2,184.0,175.0
H95QzHFw,288.0,41.0,3907.3,71.7,222.0,223.0
8NVjhpAQ,252.0,45.0,4525.6,98.4,184.0,117.0
LxS8evrJ,261.0,74.0,2756.5,67.5,190.0,140.0
tBz5eVDH,255.0,44.0,2597.1,79.2,211.0,167.0
CBkCC5xe,270.0,65.0,3561.1,82.7,272.0,270.0
B3z1sDZ3,245.0,68.0,3678.9,79.8,219.0,61.0
Pa1WqzhI,184.0,64.0,3469.2,83.1,189.0,174.0
ioRDVNnC,259.0,57.0,2455.2,70.8,182.0,258.0
XstvB0ui,267.0,54.0,2746.9,74.9,157.0,193.0
oeNirLPR,263.0,55.0,3412.6,91.1,167.0,158.0
i0pKAY8z,311.0,73.0,3260.7,85.0,181.0,176.0
K26O67L1,286.0,62.0,3604.6,88.2,194.0,186.0
hnzqp065,296.0,56.0,2721.4,68.3,187.0,214.0
mVctysod,195.0,84.0,2947.4,52.2,186.0,168.0
hIvlRSu0,286.0,54.0,2943.8,62.8,196.0,172.0
yV4Qldlk,245.0,90.0,1867.0,33.9,162.0,173.0
GBIFAq6X,205.0,84.0,3231.8,61.6,163.0,204.0
CuisOCAI,305.0,76.0,3754.4,89.7,180.0,176.0
GqWOoeWW,180.0,87.0,3614.9,58.8,226.0,162.0
xmaxSyFE,171.0,83.0,3855.0,85.7,162.0,238.0
jZUVjYkI,239.0,70.0,1721.2,82.4,200.0,174.0
RMnpyd87,391.0,72.0,4253.4,80.2,170.0,174.0
dt1e7vXB,262.0,57.0,2874.5,88.6,235.0,204.0
RQ2pVNRu,302.0,60.0,3849.4,66.2,197.0,142.0
3t90qPg3,259.0,91.0,4419.7,77.7,252.0,128.0
TwP187vB,211.0,74.0,3270.9,67.5,248.0,211.0
mKw6qgYY,295.0,61.0,3802.5,103.0,236.0,177.0
I1OpXTna,194.0,68.0,3931.4,72.4,184.0,220.0
VnuY3kvF,279.0,71.0,2910.8,86.7,176.0,137.0
jOyC1LWd,145.0,72.0,2607.6,111.2,234.0,171.0
USYVhryP,196.0,73.0,3086.5,94.6,184.0,204.0
Z0DSkeY2,336.0,63.0,3635.5,73.4,191.0,129.0
hfFDMSRI,336.0,67.0,3556.3,76.1,208.0,139.0
Zyv8a4cl,206.0,68.0,2416.6,74.6,179.0,200.0
nZDh0kcw,290.0,48.0,3176.0,71.5,120.0,162.0
FhDuPhlB,302.0,80.0,3851.7,85.8,228.0,185.0
aaQai7ot,281.0,80.0,3211.3,44.8,251.0,267.0
G2IxqUPD,250.0,63.0,3381.8,92.1,242.0,155.0
gVo5JbXp,154.0,79.0,2532.8,67.0,211.0,199.0
09Nj48S7,337.0,57.0,3359.2,72.9,158.0,134.0
1xpqIyrB,219.0,74.0,2692.7,63.0,217.0,244.0
CLf47Ngx,301.0,60.0,3562.6,88.0,198.0,182.0
kC64mFki,307.0,69.0,2292.7,90.2,199.0,141.0
HQRbkSbC,236.0,94.0,2477.3,63.3,157.0,169.0
NV0iFU56,268.0,42.0,3327.1,62.8,213.0,202.0
kh6EaaMg,261.0,85.0,3006.4,47.0,173.0,249.0
28b3UA7m,207.0,65.0,2069.7,63.6,177.0,156.0
AhlBO1s0,251.0,59.0,3134.9,57.5,223.0,145.0
CxOfwX9v,273.0,80.0,2892.6,105.0,229.0,174.0
QWalZJzp,326.0,51.0,2618.7,52.2,206.0,166.0
nO3V4CoX,330.0,65.0,3148.6,52.4,205.0,222.0
ITxs60qO,195.0,89.0,2924.7,86.9,211.0,289.0
0UKiuGUs,305.0,83.0,3528.6,75.6,171.0,177.0
DOmT7b2v,148.0,48.0,1744.1,89.0,210.0,146.0
VohZcTys,239.0,68.0,3607.5,47.3,154.0,162.0
BG1JHEGG,192.0,60.0,3265.5,80.7,159.0,159.0
z8v1oFns,301.0,41.0,3039.0,78.3,133.0,209.0
9LcwwJLv,277.0,59.0,2176.0,105.8,191.0,127.0
7OALjKhz,171.0,52.0,3890.9,111.6,137.0,167.0
wj25QTNh,212.0,94.0,3360.8,88.4,204.0,132.0
tErOHYq2,261.0,64.0,3344.4,60.7,254.0,163.0
JlPQrA3x,248.0,84.0,3674.2,91.7,147.0,189.0
tnKgIlwa,236.0,65.0,3682.7,49.3,181.0,203.0
6i8Ydhm8,239.0,51.0,3995.8,74.7,217.0,291.0
mOQndpQ3,173.0,54.0,1981.5,82.4,221.0,166.0
fIrUyEJN,326.0,54.0,4004.1,83.9,158.0,214.0
maQm44CH,309.0,63.0,2408.4,69.8,190.0,162.0
ommH55k9,292.0,94.0,3125.1,74.7,172.0,204.0
851mDbdp,253.0,60.0,3603.5,61.7,262.0,256.0
impRmbLO,270.0,44.0,2700.5,64.4,179.0,215.0
RiLbZjeP,324.0,76.0,4540.1,66.0,152.0,231.0
oKs5l1yR,225.0,95.0,4210.0,90.1,179.0,207.0
zfmG7M8s,246.0,88.0,3726.7,42.6,182.0,165.0
blTBXI3V,152.0,78.0,3292.9,67.9,221.0,178.0
x6v4YPJQ,261.0,49.0,4393.1,96.1,197.0,182.0
nQ398lAD,255.0,87.0,2323.2,109.4,218.0,177.0
fYmEs6Ko,228.0,54.0,2493.6,54.1,176.0,255.0
V7fq542l,281.0,87.0,3355.6,49.3,159.0,182.0
zLx8e9iK,270.0,45.0,3210.8,96.9,213.0,206.0
Oeo5YX73,321.0,57.0,2400.6,67.5,186.0,159.0
0JEyE0sU,200.0,78.0,3033.5,80.9,193.0,231.0
PyJ2YM0o,224.0,53.0,3349.5,93.7,200.0,163.0
FlqAFPos,294.0,47.0,4117.7,102.9,236.0,163.0
HpIkxXgB,245.0,69.0,2773.0,113.8,189.0,255.0
RbvVELS4,251.0,62.0,3714.4,79.7,168.0,233.0
6tlhZKy0,369.0,82.0,3111.8,68.0,263.0,199.0
JrraReYU,190.0,73.0,1831.0,98.3,213.0,176.0
1lVaQpjI,248.0,65.0,2629.4,85.7,252.0,193.0
zew7F9Mb,214.0,64.0,3441.2,101.5,203.0,173.0
dNZhuGj4,302.0,69.0,3193.4,77.6,207.0,205.0
A8AkUOZd,223.0,91.0,2710.3,62.1,198.0,180.0
xfDvfcwC,270.0,78.0,2294.9,73.4,205.0,173.0
4WnboiEg,290.0,65.0,2238.4,89.1,160.0,198.0
5MqO6mJZ,290.0,67.0,2345.5,61.3,172.0,215.0
GmXhKy2r,265.0,53.0,3838.8,87.2,185.0,121.0
gqSEqPQC,251.0,80.0,3569.7,72.0,109.0,246.0
8onAHDo1,213.0,66.0,4207.4,71.2,203.0,197.0
tO1sgGEh,252.0,67.0,3747.2,49.5,265.0,186.0
XA1dHCA4,262.0,94.0,3552.4,101.9,183.0,170.0
JV4o1la8,279.0,52.0,3310.1,74.1,174.0,105.0
fTzrJjqL,245.0,64.0,3332.5,116.3,255.0,184.0
5VkIgCxW,345.0,71.0,3874.9,101.3,209.0,190.0
zUnUNvh9,245.0,68.0,2396.3,71.0,124.0,162.0
vUzHo7Sr,312.0,49.0,3833.2,72.9,162.0,130.0
t0r5U6BU,382.0,66.0,3765.3,63.5,180.0,155.0
mVvoMGbr,344.0,70.0,2561.7,47.8,209.0,191.0
wlfCn50T,290.0,42.0,3983.7,72.4,109.0,176.0
QCl1IM9V,238.0,68.0,2720.3,114.6,237.0,211.0
XKjajpAj,320.0,76.0,3203.9,72.9,137.0,129.0
1FmE4meE,199.0,63.0,1798.0,101.6,181.0,199.0
JQvhnvNe,211.0,72.0,3671.4,84.1,145.0,176.0
cnejAMom,273.0,52.0,3324.2,79.6,156.0,224.0
5Xec84aq,268.0,81.0,3474.7,109.8,177.0,229.0
1q94Y88y,264.0,70.0,3346.0,91.1,214.0,188.0
dUePcQOm,302.0,90.0,3016.3,67.3,282.0,196.0
fm873niw,230.0,82.0,3650.3,73.9,201.0,196.0
D8lpOZeB,325.0,43.0,3123.9,76.8,196.0,209.0
PezXHeRc,288.0,67.0,3393.9,82.0,147.0,183.0
skNrB2BF,227.0,79.0,4010.0,46.5,165.0,187.0
pauYiBg8,315.0,74.0,2713.6,112.3,137.0,200.0
T1nzHWjK,307.0,75.0,2238.7,85.9,185.0,211.0
KxspRFee,270.0,59.0,3224.8,58.5,170.0,197.0
ZVwXWmO2,196.0,69.0,3820.9,87.7,132.0,147.0
GR2O1FiZ,180.0,57.0,3907.9,80.4,167.0,154.0
bzuYDo1v,255.0,61.0,2436.6,81.4,145.0,152.0
NoHXJV1I,185.0,78.0,2423.0,62.8,174.0,187.0
B2wHSzFA,332.0,61.0,1232.7,78.7,158.0,138.0
9NTzEWWl,363.0,69.0,3358.7,70.6,211.0,192.0
8YkUUY88,215.0,88.0,3120.4,63.4,202.0,229.0
7Awlk0ql,341.0,62.0,3213.2,58.1,127.0,199.0
ZRoizpVT,267.0,59.0,2845.4,77.6,211.0,175.0
aq2QgTLG,249.0,71.0,3810.2,83.8,244.0,172.0
Fq8UQQb0,320.0,69.0,3040.4,61.9,142.0,170.0
8H8bspRn,296.0,50.0,2693.8,78.9,165.0,191.0
HAK3uSPs,231.0,62.0,3940.3,112.0,144.0,195.0
lF2vLMCM,281.0,70.0,3455.7,77.7,271.0,197.0
YVvYtLfT,295.0,80.0,2922.9,83.7,217.0,187.0
EZUgz81s,373.0,58.0,2749.6,67.2,184.0,217.0
vXVQBfzP,282.0,63.0,3611.0,66.3,167.0,177.0
yJbKAc6p,273.0,58.0,3106.2,80.0,182.0,183.0
OW1Zh8Pm,298.0,56.0,3375.4,69.3,250.0,105.0
Vj5Fle5g,221.0,67.0,2887.7,65.4,195.0,141.0
0eZ5Yj8Y,290.0,44.0,4271.5,68.0,244.0,169.0
JytOyZAV,203.0,48.0,2785.6,88.0,187.0,260.0
TgtEKOFD,374.0,62.0,3364.4,50.6,191.0,170.0
tn5cZY8K,266.0,50.0,2892.7,60.7,196.0,219.0
fWsNByAS,251.0,68.0,2949.5,76.7,153.0,194.0
DqYaKEfd,349.0,50.0,3125.3,89.8,246.0,220.0
2HwCi3ee,215.0,65.0,2707.3,89.8,196.0,92.0
TPudpD6v,221.0,78.0,3001.2,74.6,222.0,179.0
MBIvEmj5,244.0,82.0,3565.3,72.3,256.0,146.0
XwC6MpIZ,230.0,50.0,3926.7,86.2,186.0,176.0
